FrameIndex,StocksRemaining,Percent,DamageTaken,LastHitBy,StateBeforeHit,Grounded,CrouchCancel,HitlagFrames,StickDuringHitlag,SDIInputs,ASDI,KBX,KBY,DIStickX,DIStickY,DIKBX,DIKBY,DIEfficacy,HitlagStartX,HitlagStartY,HitlagEndX,HitlagEndY,KillsWithDI,KillsNoDI,KillsAllDI
315,4,5.0,5.0,21,24,true,false,6,0.0,0.0,0,-2.4533334,0.0,-0.9875,0.0,2.4496462,0.13445166,0.0,27.284277,0.0001,18.956944,0.000099897385,false,false,false
400,4,17.0,12.0,13,235,true,false,7,0.0,0.0,0,1.0037187,0.96928,0.0,-0.9875,1.3747619,0.23871423,0.5045945,-28.022047,0.0001,-26.919722,0.000099897385,false,false,false
488,4,21.6,4.6000004,21,18,true,false,6,0.0,0.0,0,2.4533334,0.0,0.0,0.8875,2.3786056,0.60089976,0.78765625,-21.155945,0.0001,-18.826786,3.081008,false,false,false
565,4,39.6,17.999998,11,197,true,false,9,0.0,0.0,0,0.61527044,3.489371,0.0,0.0,3.5421534,0.08633722,0.0,56.05237,-3.4999,56.658783,-0.23075438,false,false,false
891,4,54.6,15.0,15,73,true,false,8,0.0,0.0,0,-1.9292693,1.8630738,-0.9875,0.0,2.6341088,0.50456816,0.47056144,-49.23873,-2.0913024,-54.385616,-0.74043083,false,false,false
1027,4,62.789997,8.189999,15,358,true,false,5,0.0,0.0,0,-1.5105287,1.5105287,0.7875,0.6125,2.0606575,-0.5631063,0.9800002,-57.068985,21.519129,-55.712425,25.033306,false,false,false
1103,4,75.24,12.450001,15,354,true,false,7,0.0,0.0,0,-2.470054,2.470054,0.0,0.9625,3.4741673,-0.36401263,0.46320254,-72.76374,-18.3357,-74.79786,-12.766331,true,false,false
1233,4,87.64,11.400002,15,358,true,false,6,0.0,0.0,0,-2.8332827,2.8332827,0.5375,0.6875,3.9312434,-0.7748021,0.7503125,-84.43744,-30.606468,-84.68092,-24.903202,true,false,false
1676,3,3.0,3.0,17,29,true,false,4,0.0,0.0,0,0.44006583,-1.2090712,0.9625,0.0,1.2684107,-0.21597536,0.8180372,-22.294188,19.880098,-18.614141,18.704117,false,false,false
1682,3,4.8199997,1.8199997,17,85,true,false,3,0.0,0.0,0,0.44006583,-1.2090712,0.8375,-0.5375,1.2603424,0.2589363,0.36379814,-17.267895,15.966713,-14.20311,13.078838,false,false,false
1732,3,15.92,11.1,15,27,true,false,6,0.0,0.0,0,-0.8053711,0.8053711,-0.8,-0.5875,1.0724207,0.38361484,0.96257824,-5.4088583,17.4161,-11.646074,11.139363,false,false,false
1779,3,24.83,8.91,13,345,true,false,5,0.0,0.0,0,-0.81578207,0.81578207,-0.6375,-0.75,1.0862838,0.38857368,0.96257806,-20.915281,7.9400997,-25.244457,0.110295296,false,false,false
1798,3,29.779999,4.949999,21,42,false,false,4,0.0,0.0,0,-1.6355556,0.0,0.0,-1.0,1.5254695,0.58990234,1.0,-33.610462,0.0001,-35.16602,0.000099897385,false,false,false
1821,3,33.78,4.0,2,80,true,false,4,0.0,0.0,0,-0.34270418,0.9343203,0.6875,-0.7125,0.99169356,0.08333935,0.16007484,-50.507824,-2.3556967,-48.766556,-1.9929323,false,false,false
1840,3,38.379997,4.5999985,21,16,true,false,6,0.0,0.0,0,-2.4533334,0.0,0.875,-0.475,2.433973,0.30760464,0.22562459,-46.373123,-1.4943005,-46.144424,-1.4466549,false,false,false
2461,3,45.379997,7.0,6,39,true,false,3,0.0,0.0,0,0.49164602,1.513131,0.0,-1.0,1.5888551,0.08258667,0.09549149,-23.481878,0.0001,-22.962275,0.000100016594,false,false,false
2609,3,59.329998,13.950001,15,64,true,false,7,0.0,0.0,0,2.0705116,1.99947,0.975,0.0,2.8537962,-0.37515673,0.4587243,-40.945667,23.450098,-35.72586,24.931694,false,false,false
2722,3,67.97,8.640003,13,24,true,false,5,0.0,0.0,0,1.6372846,1.5811075,0.85,-0.5125,2.1728127,0.6778535,0.9199133,24.084116,0.0001,31.577469,0.000100016594,false,false,false
6283,3,79.97,12.0,13,29,true,false,7,0.0,0.0,0,2.418777,2.418777,0.0,0.0,3.4203453,0.04688828,0.0,20.045307,39.450104,22.428022,41.66282,false,false,false
6448,3,84.97,5.0,21,24,true,false,6,0.0,0.0,0,2.4533334,0.0,-0.3625,-0.925,2.3652332,0.65154934,0.85562515,37.369522,0.0001,39.67083,-0.09798938,false,false,false
6672,3,91.97,7.0,19,56,true,false,5,0.0,0.0,0,-0.5244871,2.9745133,-0.5875,0.75,3.0071747,0.282327,0.2010074,38.051872,0.0001,35.591988,5.0039454,false,false,false
7020,3,100.340004,8.370003,13,69,true,false,5,0.0,0.0,0,2.2231174,2.1468396,0.775,-0.6125,2.9389312,0.955956,0.95835453,16.208305,0.0001001358,21.247522,-0.63934565,false,false,false
7294,3,106.78001,6.4400024,19,29,true,false,5,0.0,0.0,0,-0.61751527,3.5021021,0.0,0.0,3.5544765,0.10830905,0.0,72.794495,-25.619902,72.18584,-22.338024,false,false,false
7326,3,108.78001,2.0,17,90,true,false,3,0.0,0.0,0,0.07052019,0.88672376,0.9875,0.0,0.8552756,-0.24445589,0.9690273,59.099636,-8.022495,62.419632,-7.4174314,false,false,false
7435,3,112.78001,4.0,2,349,true,false,4,0.0,0.0,0,-0.72097844,1.9808718,0.0,-1.0,2.1027987,0.14798112,0.116977826,26.539644,0.0001,25.765564,0.000100016594,false,false,false
7510,3,135.24,15.0,15,90,true,false,8,0.0,0.0,0,4.168395,4.168395,0.9125,0.375,5.892043,-0.1866839,0.14445302,27.306145,29.527668,38.829628,38.39885,true,true,true
8044,2,1.88,1.88,17,212,false,false,3,0.0,0.0,0,-0.44006583,0.0,0.0,0.0,0.43940446,0.02411722,0.0,12.995638,0.0001,12.635572,0.0001,false,false,false
8050,2,3.6,1.7199999,17,76,false,false,3,0.0,0.0,0,-0.44006583,0.0,0.0,0.0,0.43940446,0.02411722,0.0,12.035376,0.0001,11.67531,0.0001,false,false,false
8054,2,6.18,2.58,17,82,false,false,3,0.0,0.0,0,-0.44006583,0.0,0.0,0.0,0.43940446,0.02411722,0.0,11.395245,0.0001,11.035179,0.0001,false,false,false
8059,2,8.76,2.5800004,17,79,false,false,3,0.0,0.0,0,-0.44006583,0.0,0.0,0.0,0.43940446,0.02411722,0.0,10.555048,0.0001,10.194983,0.0001,false,false,false
8073,2,13.71,4.95,21,79,true,false,6,0.0,0.0,0,2.4533334,0.0,0.9625,0.0,2.4533334,0.0,0.0,10.4547205,0.0001,15.7062435,0.000100016594,false,false,false
8191,2,25.470001,11.760001,13,56,true,false,6,0.0,0.0,0,1.1860666,1.1453713,0.0,0.4625,1.6469134,0.079403356,0.11068579,22.204952,0.0001,23.310604,0.9836095,false,false,false
8210,2,30.070002,4.6000004,21,83,true,false,6,0.0,0.0,0,2.4533334,0.6748736,0.8375,-0.5375,2.5047572,0.4477618,0.54816395,34.472633,-5.051217,39.46706,-0.055537224,false,false,false
8270,2,44.32,14.249998,15,263,true,false,7,0.0,0.0,0,1.6229869,1.6229869,1.0,0.0,2.2717001,-0.32794785,0.49999988,45.12908,39.049656,49.902058,40.20587,false,false,false
8911,2,57.37,13.049999,15,68,true,false,7,0.0,0.0,0,-1.9820088,1.9820088,0.0,-0.9875,2.7502413,0.54120076,0.48757777,21.783222,36.572083,19.56315,35.065834,false,false,false
9457,2,66.369995,8.999996,15,178,true,false,6,0.0,0.0,0,-1.6070051,1.5518669,0.9875,0.0,2.2213647,-0.23725657,0.47056156,7.52318,42.0001,9.19988,43.566296,false,false,false
9655,2,80.02,13.650002,15,14,true,false,7,0.0,0.0,0,2.6611617,2.5698543,0.975,0.0,3.6678922,-0.48217684,0.4587243,34.413616,0.0001,46.149868,1.9613426,true,false,false
9817,2,86.02,6.0,62,358,true,false,5,0.0,0.0,0,1.8997604,1.8997604,-0.9875,0.0,2.6493406,0.4462859,0.48757806,55.11602,2.8473482,53.711033,4.803586,false,false,false
11224,1,7.0,7.0,6,43,true,false,5,0.0,0.0,0,0.51553303,1.5866476,0.975,0.0,1.6171782,-0.40982872,0.85984844,-11.729403,0.0001,-7.8654084,1.1728463,false,false,false
11995,1,16.0,9.0,13,20,false,false,6,0.0,0.0,0,-0.95066667,0.0,0.0,0.0,0.94923794,0.052100014,0.0,-8.886838,0.0001,-9.757504,0.0001,false,false,false
12015,1,21.0,5.0,21,76,true,false,6,0.0,0.0,0,-2.4533334,0.0,0.0,0.0,2.4496462,0.13445166,0.0,-17.064173,0.0001,-19.466507,0.00010000169,false,false,false
